Gene,Num_Protected_Comorbidities,Protected_Comorbidities,Median_RR,Max_CI_Upper
ENSG00000161010.14,2,"Obstructive Sleep Apnea Syndrome, Sleep Apnea Syndrome",0.6595451088618313,0.9136083596580178
ENSG00000196700.8,2,"Psoriasis, Strabismus",0.2755102040816327,0.9663425027403963
ENSG00000235560.3,2,"Otitis Media, Susceptibility To, Patent Foramen Ovale",0.4828254847645429,0.9918820291534796
ENSG00000105610.4,2,"Hidradenitis Suppurativa, Ventricular Septal Defect",0.48363636363636364,0.9991183340226549
ENSG00000196498.13,2,"Celiac Disease, Hearing Loss Disorder",0.4424133811230586,0.9822683953342618
ENSG00000128000.15,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.5475382003395586,0.9888107181506165
ENSG00000147606.8,2,"Obstructive Sleep Apnea Syndrome, Pulmonary Hypertension",0.5011158449989855,0.9340244817867658
ENSG00000234911.2,2,"Psoriasis, Scoliosis",0.351213282247765,0.9609471524442726
ENSG00000260361.1,2,"Folliculitis, Hidradenitis Suppurativa",0.3522017045454545,0.9622138047669802
ENSG00000260398.1,2,"Atrioventricular Septal Defect, Folliculitis",0.3620509745127436,0.838234472075394
ENSG00000198093.10,2,"Alopecia Areata, Folliculitis",0.4664634146341464,0.9817222755301134
ENSG00000143195.12,2,"Atrioventricular Septal Defect, Patent Foramen Ovale",0.5029452110062131,0.955505058901808
ENSG00000142233.11,2,"Atrial Septal Defect, Pulmonary Hypertension",0.4294999172048352,0.991553647848418
ENSG00000119820.10,2,"Celiac Disease, Psoriasis",0.3247058823529412,0.7881981143877829
ENSG00000121057.12,2,"Atrioventricular Septal Defect, Psoriasis",0.3409141583054626,0.9550968288140572
ENSG00000182199.10,2,"Pulmonary Hypertension, Scoliosis",0.34117246080436264,0.8976688981734493
ENSG00000160781.15,2,"Alopecia Areata, Folliculitis",0.2495555844606313,0.852301823638937
ENSG00000123268.8,2,"Celiac Disease, Conductive Hearing Loss Disorder",0.45054945054945056,0.8789221555241777
ENSG00000229093.1,2,"Psoriasis, Ventricular Septal Defect",0.44009413778348305,0.9151384860515539
ENSG00000151748.14,2,"Hidradenitis Suppurativa, Psoriasis",0.3499138673557278,0.974758541047413
ENSG00000244005.12,2,"Conductive Hearing Loss Disorder, Seborrheic Dermatitis",0.365328163943506,0.8485852638376392
ENSG00000154814.13,2,"Hidradenitis Suppurativa, Otitis Media, Susceptibility To",0.3179818296097366,0.8651583420305281
ENSG00000234174.1,2,"Alopecia Areata, Celiac Disease",0.3467843631778058,0.9934525538392769
ENSG00000151882.11,2,"Scoliosis, Sleep Apnea Syndrome",0.4947643979057592,0.9040072256684194
ENSG00000154957.13,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.5385331043225781,0.9722650424380258
ENSG00000185359.12,2,"Hashimoto Thyroiditis, Scoliosis",0.30859979714941543,0.9832510923611006
ENSG00000197296.5,2,"Hashimoto Thyroiditis, Otitis Media, Susceptibility To",0.3034055727554179,0.827545153858874
ENSG00000151876.12,2,"Conductive Hearing Loss Disorder, Ventricular Septal Defect",0.5757411385606874,0.944001012390239
ENSG00000231595.1,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.5387062937062937,0.9815288435093947
ENSG00000196950.13,2,"Atrioventricular Septal Defect, Conductive Hearing Loss Disorder",0.508234126984127,0.9765089946453139
ENSG00000116679.15,2,"Hearing Loss Disorder, Pulmonary Hypertension",0.4256444683136412,0.9856284308806639
ENSG00000184967.6,2,"Hashimoto Thyroiditis, Folliculitis",0.38505291005291004,0.9952669657061197
ENSG00000197417.7,2,"Hashimoto Thyroiditis, Celiac Disease",0.238342566943675,0.8386620001208261
ENSG00000116771.5,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.3814188107184798,0.8988376158408894
ENSG00000147050.14,2,"Hashimoto Thyroiditis, Patent Foramen Ovale",0.38410074773711134,0.9743267846626159
ENSG00000111802.13,2,"Atrioventricular Septal Defect, Scoliosis",0.38298506350802697,0.9942231292221213
ENSG00000254054.2,2,"Patent Ductus Arteriosus, Patent Foramen Ovale",0.49313336445689393,0.9803606622926692
ENSG00000184860.9,2,"Otitis Media, Susceptibility To, Patent Foramen Ovale",0.4994462901439646,0.8869907939822471
ENSG00000197183.14,2,"Patent Ductus Arteriosus, Patent Foramen Ovale",0.47981486676016827,0.9694679784421528
ENSG00000244101.1,2,"Pulmonary Hypertension, Scoliosis",0.35273209549071616,0.9803993599172053
ENSG00000183506.17,2,"Hashimoto Thyroiditis, Seborrheic Dermatitis",0.3125690607734807,0.8414099261339552
ENSG00000233680.4,2,"Patent Foramen Ovale, Pulmonary Hypertension",0.38057522123893806,0.9234139834059519
ENSG00000232874.1,2,"Folliculitis, Hidradenitis Suppurativa",0.4506059265811587,0.9561187407022315
ENSG00000123728.9,2,"Hearing Loss Disorder, Ventricular Septal Defect",0.5467700702075702,0.9159549033250358
ENSG00000115524.15,2,"Celiac Disease, Conductive Hearing Loss Disorder",0.40569780306622416,0.9001899857956892
ENSG00000233542.1,2,"Astigmatism, Pulmonary Hypertension",0.352992547741034,0.9536637217596504
ENSG00000248302.3,2,"Hidradenitis Suppurativa, Psoriasis",0.35546875,0.9902378784620435
ENSG00000245149.3,2,"Celiac Disease, Conductive Hearing Loss Disorder",0.39991518235793044,0.8842358636376612
ENSG00000153896.17,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.49518559243959703,0.8925288124596128
ENSG00000114503.10,2,"Atrioventricular Septal Defect, Psoriasis",0.4211837189486793,0.9794123192850379
ENSG00000244791.2,2,"Eustachian Tube Disorder, Otitis Media, Susceptibility To",0.5198757763975155,0.984299948382349
ENSG00000250410.1,2,"Alopecia Areata, Scoliosis",0.30205479452054795,0.9183169526474166
ENSG00000232533.1,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.4903172358052132,0.9435806181874122
ENSG00000115946.7,2,"Alopecia Areata, Astigmatism",0.2802867383512545,0.9871670239816996
ENSG00000249388.1,2,"Folliculitis, Psoriasis",0.4517663043478261,0.9744456222810574
ENSG00000232453.6,2,"Pneumonia, Ventricular Septal Defect",0.44467636516972386,0.9822683953342618
ENSG00000154229.11,2,"Atrioventricular Septal Defect, Ventricular Septal Defect",0.5351381710077363,0.950851612415127
ENSG00000124181.14,2,"Hidradenitis Suppurativa, Psoriasis",0.34090909090909094,0.9367610628900551
ENSG00000244184.1,2,"Astigmatism, Pulmonary Hypertension",0.3624269005847953,0.9934622179170441
